timestamp,step,elapsed_s,temp_c,error_c,heater_norm,pwm_cmd,esp_safety,host_safety,phase,kp,ki,kd,ramp_loss,approach_loss,steady_loss
2026-04-06T22:37:52,101,178.093,33.3125,3.6875,1.0,125,0,0,ramp_up,15.0,2.0,400.0,0.012063836678862572,,
2026-04-06T22:37:54,102,179.823,33.4375,3.5625,1.0,125,0,0,ramp_up,15.0,2.0,400.0,0.04731050133705139,,
2026-04-06T22:37:56,103,181.838,33.5,3.5,1.0,125,0,0,ramp_up,15.0,2.0,400.0,0.013015935197472572,,
2026-04-06T22:37:57,104,183.58,33.625,3.375,1.0,125,0,0,ramp_up,15.0,2.0,400.0,0.007976123131811619,,
2026-04-06T22:37:59,105,185.32,33.6875,3.3125,1.0,125,0,0,ramp_up,15.0,2.0,400.0,0.004260716028511524,,
2026-04-06T22:38:00,106,186.754,33.75,3.25,1.0,125,0,0,ramp_up,15.0,2.0,400.0,0.01025011483579874,,
2026-04-06T22:38:02,107,188.29,33.8125,3.1875,1.0,125,0,0,ramp_up,15.0,2.0,400.0,0.009940188378095627,,
2026-04-06T22:38:04,108,190.133,33.9375,3.0625,1.0,125,0,0,ramp_up,15.0,2.0,400.0,0.008645419031381607,,
2026-04-06T22:38:06,109,191.874,34.0,3.0,1.0,125,0,0,approach,8.0,1.0,250.0,0.06619119644165039,,
2026-04-06T22:38:07,110,193.819,34.0625,2.9375,1.0,125,0,0,approach,8.0,1.0,250.0,0.018976453691720963,,
2026-04-06T22:38:09,111,195.356,34.125,2.875,1.0,125,0,0,approach,8.0,1.0,250.0,0.007451503071933985,,
2026-04-06T22:38:12,112,197.301,34.25,2.75,1.0,125,0,0,approach,8.0,1.0,250.0,0.03684455528855324,,
2026-04-06T22:38:13,113,199.554,34.3125,2.6875,1.0,125,0,0,approach,8.0,1.0,250.0,0.01717558316886425,,
2026-04-06T22:38:15,114,201.5,34.375,2.625,1.0,125,0,0,approach,8.0,1.0,250.0,0.020619217306375504,,
2026-04-06T22:38:17,115,203.454,34.5,2.5,1.0,125,0,0,approach,8.0,1.0,250.0,0.048222288489341736,,
2026-04-06T22:38:19,116,205.288,34.5625,2.4375,1.0,125,0,0,approach,8.0,1.0,250.0,0.0799543485045433,,
2026-04-06T22:38:20,117,207.029,34.625,2.375,1.0,125,0,0,approach,8.0,1.0,250.0,0.0012886797776445746,,
2026-04-06T22:38:22,118,208.462,34.6875,2.3125,1.0,125,0,0,approach,8.0,1.0,250.0,0.015704486519098282,,
2026-04-06T22:38:25,119,210.511,34.75,2.25,1.0,125,0,0,approach,8.0,1.0,250.0,0.012577435933053493,,
2026-04-06T22:38:26,120,212.628,34.8125,2.1875,1.0,125,0,0,approach,8.0,1.0,250.0,0.012947519309818745,,
2026-04-06T22:38:28,121,214.299,34.875,2.125,0.92985,116,0,0,approach,8.0,1.0,250.0,0.0063638146966695786,,
2026-04-06T22:38:29,122,215.732,34.9375,2.0625,0.0,0,0,0,approach,8.0,1.0,250.0,0.007330587599426508,,
2026-04-06T22:38:31,123,217.166,35.0,2.0,0.0,0,0,0,approach,8.0,1.0,250.0,0.002541522728279233,,
2026-04-06T22:38:33,124,218.703,35.0625,1.9375,0.0,0,0,0,approach,8.0,1.0,250.0,0.006310595665127039,,
2026-04-06T22:38:34,125,220.558,35.125,1.875,0.0,0,0,0,approach,8.0,1.0,250.0,0.00455612875521183,,
2026-04-06T22:38:36,126,222.503,35.25,1.75,0.0,0,0,0,approach,8.0,1.0,250.0,0.006564713548868895,,
2026-04-06T22:38:38,127,224.13,35.3125,1.6875,0.0,0,0,0,approach,8.0,1.0,250.0,0.009687335230410099,,
2026-04-06T22:38:39,128,225.871,35.375,1.625,0.0,0,0,0,approach,8.0,1.0,250.0,0.006094077136367559,,
2026-04-06T22:38:41,129,227.305,35.5,1.5,0.0,0,0,0,approach,8.0,1.0,250.0,0.0026780785992741585,,
2026-04-06T22:38:43,130,229.148,35.5625,1.4375,0.0,0,0,0,approach,8.0,1.0,250.0,0.0070671699941158295,,
2026-04-06T22:38:45,131,231.101,35.625,1.375,0.0,0,0,0,approach,8.0,1.0,250.0,0.018667245283722878,,
2026-04-06T22:38:46,132,232.937,35.6875,1.3125,0.0,0,0,0,approach,8.0,1.0,250.0,0.013932990841567516,,
2026-04-06T22:38:48,133,234.371,35.75,1.25,0.0,0,0,0,approach,8.0,1.0,250.0,0.0023138318210840225,,
2026-04-06T22:38:50,134,235.92,35.8125,1.1875,0.0,0,0,0,approach,8.0,1.0,250.0,0.005212813150137663,,
2026-04-06T22:38:51,135,237.647,35.875,1.125,0.0,0,0,0,approach,8.0,1.0,250.0,0.02303534373641014,,
2026-04-06T22:38:52,136,239.08,35.9375,1.0625,0.0,0,0,0,approach,8.0,1.0,250.0,0.014915554784238338,,
2026-04-06T22:38:55,137,240.524,36.0,1.0,0.0,0,0,0,approach,8.0,1.0,250.0,0.012451392598450184,,
2026-04-06T22:38:56,138,242.567,36.0625,0.9375,0.0,0,0,0,approach,8.0,1.0,250.0,0.013930464163422585,,
2026-04-06T22:38:58,139,244.405,36.125,0.875,0.0,0,0,0,approach,8.0,1.0,250.0,0.011565757915377617,,
2026-04-06T22:38:59,140,245.838,36.1875,0.8125,0.0,0,0,0,approach,8.0,1.0,250.0,0.002197839319705963,,
2026-04-06T22:39:01,141,247.477,36.25,0.75,0.0,0,0,0,approach,8.0,1.0,250.0,0.004967884160578251,,
2026-04-06T22:39:03,142,249.326,36.3125,0.6875,0.0,0,0,0,approach,8.0,1.0,250.0,0.04816268011927605,,
2026-04-06T22:39:05,143,251.184,36.375,0.625,0.0,0,0,0,approach,8.0,1.0,250.0,0.005831398535519838,,
2026-04-06T22:39:07,144,253.076,36.4375,0.5625,0.0,0,0,0,approach,8.0,1.0,250.0,0.013378896750509739,,
2026-04-06T22:39:09,145,254.851,36.5625,0.4375,0.0,0,0,0,approach,8.0,1.0,250.0,0.05417690798640251,,
2026-04-06T22:39:10,146,256.796,36.625,0.375,0.0,0,0,0,approach,8.0,1.0,250.0,0.002659730613231659,,
2026-04-06T22:39:12,147,258.332,36.6875,0.3125,0.0,0,0,0,approach,8.0,1.0,250.0,0.005993066821247339,1.675140142440796,
2026-04-06T22:39:14,148,260.074,36.6875,0.3125,0.0,0,0,0,approach,8.0,1.0,250.0,0.002882826142013073,1.362985610961914,
2026-04-06T22:39:16,149,261.919,36.75,0.25,0.0,0,0,0,approach,8.0,1.0,250.0,0.031291380524635315,1.1942243576049805,
2026-04-06T22:39:17,150,263.777,36.8125,0.1875,1.0,125,0,0,steady_state,4.0,0.5,120.0,0.008484665304422379,1.1607036590576172,
2026-04-06T22:39:19,151,265.179,36.875,0.125,1.0,125,0,0,steady_state,4.0,0.5,120.0,0.004921488463878632,1.340029239654541,
2026-04-06T22:39:20,152,266.628,36.9375,0.0625,0.70375,88,0,0,steady_state,4.0,0.5,120.0,0.027324870228767395,1.012373924255371,
2026-04-06T22:39:22,153,268.062,36.9375,0.0625,0.64738,81,0,0,steady_state,4.0,0.5,120.0,0.003622721880674362,1.0010182857513428,
2026-04-06T22:39:24,154,269.802,37.0,0.0,0.0,0,0,0,steady_state,4.0,0.5,120.0,0.011834871023893356,0.9709216356277466,
2026-04-06T22:39:25,155,271.645,37.0625,-0.0625,0.0,0,0,0,steady_state,4.0,0.5,120.0,0.019139405339956284,0.9926100969314575,
2026-04-06T22:39:27,156,273.489,37.0625,-0.0625,0.0,0,0,0,steady_state,4.0,0.5,120.0,0.00819089449942112,0.7958341836929321,
2026-04-06T22:39:29,157,275.34,37.125,-0.125,0.0,0,0,0,steady_state,4.0,0.5,120.0,0.015055196359753609,0.8333652019500732,
2026-04-06T22:39:31,158,277.178,37.125,-0.125,0.0,0,0,0,steady_state,4.0,0.5,120.0,0.07221938669681549,0.6843627095222473,
2026-04-06T22:39:33,159,278.711,37.125,-0.125,0.0,0,0,0,steady_state,4.0,0.5,120.0,0.007292968221008778,0.7321757674217224,
2026-04-06T22:39:34,160,280.657,37.1875,-0.1875,0.0,0,0,0,steady_state,4.0,0.5,120.0,0.001953717553988099,0.7086068987846375,
2026-04-06T22:39:37,161,282.397,37.1875,-0.1875,0.0,0,0,0,steady_state,4.0,0.5,120.0,0.03182224929332733,0.5808550119400024,
2026-04-06T22:39:38,162,284.753,37.1875,-0.1875,0.0,0,0,0,steady_state,4.0,0.5,120.0,0.007461774628609419,0.5007568597793579,
2026-04-06T22:39:40,163,286.203,37.25,-0.25,0.0,0,0,0,approach,8.0,1.0,250.0,0.016333699226379395,0.5808742046356201,
2026-04-06T22:39:42,164,288.035,37.25,-0.25,0.0,0,0,0,approach,8.0,1.0,250.0,0.0036290159914642572,0.44776788353919983,
2026-04-06T22:39:43,165,290.059,37.3125,-0.3125,0.0,0,0,0,approach,8.0,1.0,250.0,0.006966591812670231,0.5054613947868347,
2026-04-06T22:39:45,166,291.51,37.3125,-0.3125,0.0,0,0,0,approach,8.0,1.0,250.0,0.006531533319503069,0.40979287028312683,
2026-04-06T22:39:48,167,293.457,37.3125,-0.3125,0.0,0,0,0,approach,8.0,1.0,250.0,0.03483252227306366,0.6314671635627747,
2026-04-06T22:39:49,168,295.79,37.375,-0.375,0.0,0,0,0,approach,8.0,1.0,250.0,0.00299922376871109,0.4111393094062805,
2026-04-06T22:39:51,169,297.348,37.375,-0.375,0.0,0,0,0,approach,8.0,1.0,250.0,0.0013135724002495408,0.47953081130981445,
2026-04-06T22:39:53,170,299.292,37.375,-0.375,0.0,0,0,0,approach,8.0,1.0,250.0,0.0013902587816119194,0.35906535387039185,
2026-04-06T22:39:55,171,301.137,37.375,-0.375,0.0,0,0,0,approach,8.0,1.0,250.0,0.0015434372471645474,0.3464227616786957,
2026-04-06T22:39:57,172,303.185,37.4375,-0.4375,0.0,0,0,0,approach,8.0,1.0,250.0,0.009613480418920517,0.3578474819660187,
2026-04-06T22:39:58,173,305.028,37.4375,-0.4375,0.0,0,0,0,approach,8.0,1.0,250.0,0.004772187676280737,0.4485010802745819,
2026-04-06T22:40:00,174,306.462,37.4375,-0.4375,0.0,0,0,0,approach,8.0,1.0,250.0,0.008425258100032806,0.3396895229816437,
2026-04-06T22:40:02,175,308.304,37.4375,-0.4375,0.0,0,0,0,approach,8.0,1.0,250.0,0.004861815832555294,0.23998133838176727,
2026-04-06T22:40:04,176,310.148,37.4375,-0.4375,0.0,0,0,0,approach,8.0,1.0,250.0,0.004839979112148285,0.3511679470539093,
2026-04-06T22:40:05,177,311.581,37.5,-0.5,0.0,0,0,0,approach,8.0,1.0,250.0,0.0036550480872392654,0.19471120834350586,
2026-04-06T22:40:07,178,313.424,37.5,-0.5,0.0,0,0,0,approach,8.0,1.0,250.0,0.011206315830349922,0.29781001806259155,
2026-04-06T22:40:08,179,314.859,37.5,-0.5,0.0,0,0,0,approach,8.0,1.0,250.0,0.011065451428294182,0.2460496425628662,
2026-04-06T22:40:10,180,316.296,37.5625,-0.5625,0.0,0,0,0,approach,8.0,1.0,250.0,0.006605192087590694,0.25399813055992126,
2026-04-06T22:40:12,181,318.24,37.5,-0.5,0.0,0,0,0,approach,8.0,1.0,250.0,0.010158956982195377,0.22080367803573608,
2026-04-06T22:40:14,182,320.081,37.5625,-0.5625,0.0,0,0,0,approach,8.0,1.0,250.0,0.0075584533624351025,0.2396622747182846,
2026-04-06T22:40:15,183,321.616,37.5,-0.5,0.0,0,0,0,approach,8.0,1.0,250.0,0.042883314192295074,0.1581304669380188,
2026-04-06T22:40:17,184,323.459,37.5625,-0.5625,0.0,0,0,0,approach,8.0,1.0,250.0,0.0010104796383529902,0.13310179114341736,
